property_id;scenario;feature;feature_value;shap_value;effect
ID54;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID54;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID54;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID55;current;cat__county_Fejér vármegye;;0.023816305178036526;increase
ID55;current;activation_year;2022;0.00568246883928826;increase
ID55;current;cat__county_Békés vármegye;;-0.00515291629779413;decrease
ID56;current;cat__county_Fejér vármegye;;-0.043565395513122177;decrease
ID56;current;condition;2;-0.041264551747161766;decrease
ID56;current;cat__settlement_type_Nagyközség;;-0.009084715370062734;decrease
ID57;current;cat__county_Fejér vármegye;;-0.06532684187721832;decrease
ID57;current;condition;2;-0.04566662931730819;decrease
ID57;current;building_area_m2;39.0;-0.037127018852666345;decrease
ID58;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID58;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID58;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID59;current;condition;2;-0.043877416305976226;decrease
ID59;current;cat__county_Fejér vármegye;;0.035636966977823696;increase
ID59;current;cat__settlement_type_Város;;0.0222892462482992;increase
ID60;current;building_area_m2;94.0;-0.07946900529348133;decrease
ID60;current;cat__county_Jász-Nagykun-Szolnok vármegye;;-0.010243533348460215;decrease
ID60;current;cat__county_Békés vármegye;;-0.00592318758259478;decrease
ID61;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID61;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID61;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID62;current;cat__county_Fejér vármegye;;0.031183964309060314;increase
ID62;current;cat__settlement_type_Város;;0.03064373793198857;increase
ID62;current;building_area_m2;137.0;-0.023922457616350194;decrease
ID63;current;building_area_m2;112.0;-0.12680308400530682;decrease
ID63;current;cat__county_Jász-Nagykun-Szolnok vármegye;;-0.021698277273633354;decrease
ID63;current;cat__settlement_type_Város;;-0.02093292707934561;decrease
ID64;current;cat__county_Fejér vármegye;;-0.03944212653812489;decrease
ID64;current;condition;4;-0.036298151497781525;decrease
ID64;current;cat__settlement_type_Város;;-0.010133911727825077;decrease
ID65;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID65;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID65;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID66;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID66;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID66;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID67;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID67;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID67;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID68;current;building_area_m2;73.0;-0.066917080876183;decrease
ID68;current;cat__county_Fejér vármegye;;-0.03800753202900132;decrease
ID68;current;condition;3;-0.023126410133844914;decrease
ID69;current;building_area_m2;40.0;0.05763583301658607;increase
ID69;current;cat__county_Fejér vármegye;;-0.03059065122666551;decrease
ID69;current;condition;3;0.021397930496418388;increase
ID70;current;building_area_m2;60.0;0.06985846460812863;increase
ID70;current;cat__county_Békés vármegye;;-0.009611239298226616;decrease
ID70;current;cat__settlement_type_Város;;-0.008061784075279988;decrease
ID71;current;cat__county_Fejér vármegye;;-0.08263916458860035;decrease
ID71;current;building_area_m2;46.0;-0.035849731287951214;decrease
ID71;current;cat__settlement_type_Nagyközség;;-0.012067396660178566;decrease
ID72;current;building_area_m2;54.0;0.05050690626731602;increase
ID72;current;cat__county_Csongrád-Csanád vármegye;;0.014618920815899999;increase
ID72;current;condition;3;0.010080103641616045;increase
ID73;current;building_area_m2;92.0;-0.036271747297748104;decrease
ID73;current;condition;4;-0.02213897917191194;decrease
ID73;current;cat__county_Fejér vármegye;;-0.018802334574157545;decrease
ID74;current;cat__county_Fejér vármegye;;-0.0514695829367914;decrease
ID74;current;building_area_m2;39.0;-0.013106048733613622;decrease
ID74;current;cat__settlement_type_Város;;-0.009167366987298092;decrease
ID75;current;cat__county_Fejér vármegye;;-0.016863693957763774;decrease
ID75;current;building_area_m2;93.0;-0.011423055382903138;decrease
ID75;current;cat__county_Békés vármegye;;0.006357071691825592;increase
ID76;current;building_area_m2;112.0;-0.12680308400530682;decrease
ID76;current;cat__county_Jász-Nagykun-Szolnok vármegye;;-0.021698277273633354;decrease
ID76;current;cat__settlement_type_Város;;-0.02093292707934561;decrease
ID77;current;activation_year;2024;-0.03567464491170621;decrease
ID77;current;condition;2;-0.01865896453977336;decrease
ID77;current;cat__county_Fejér vármegye;;-0.013612149935092683;decrease
ID78;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID78;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID78;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID79;current;cat__county_Fejér vármegye;;0.12338230006249225;increase
ID79;current;building_area_m2;212.0;0.09352872886814965;increase
ID79;current;cat__county_Jász-Nagykun-Szolnok vármegye;;0.011857862724336938;increase
ID80;current;cat__county_Fejér vármegye;;-0.016863693957763774;decrease
ID80;current;building_area_m2;93.0;-0.011423055382903138;decrease
ID80;current;cat__county_Békés vármegye;;0.006357071691825592;increase
ID81;current;building_area_m2;61.0;-0.02222507908787177;decrease
ID81;current;cat__county_Fejér vármegye;;-0.01902496879348924;decrease
ID81;current;cat__settlement_type_Nagyközség;;-0.00991639809846418;decrease
ID82;current;building_area_m2;59.0;0.05878059022345644;increase
ID82;current;cat__county_Fejér vármegye;;0.010271267020582087;increase
ID82;current;cat__settlement_type_Község;;-0.009537972053559102;decrease
ID83;current;cat__county_Fejér vármegye;;0.03158655832544438;increase
ID83;current;building_area_m2;88.0;0.030672679759136023;increase
ID83;current;cat__settlement_type_Város;;0.023216176442618704;increase
ID84;current;cat__county_Fejér vármegye;;-0.09065201941601468;decrease
ID84;current;building_area_m2;46.0;-0.058216475847704986;decrease
ID84;current;condition;2;-0.03990375420675902;decrease
ID85;current;building_area_m2;136.0;0.05911133247439353;increase
ID85;current;cat__settlement_type_Város;;0.017046807563467277;increase
ID85;current;condition;3;0.01656676709648045;increase
ID86;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID86;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID86;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID87;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID87;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID87;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID88;current;building_area_m2;40.0;0.05763583301658607;increase
ID88;current;cat__county_Fejér vármegye;;-0.03059065122666551;decrease
ID88;current;condition;3;0.021397930496418388;increase
ID89;current;building_area_m2;54.0;0.05050690626731602;increase
ID89;current;cat__county_Csongrád-Csanád vármegye;;0.014618920815899999;increase
ID89;current;condition;3;0.010080103641616045;increase
ID90;current;cat__county_Fejér vármegye;;0.07466524069490514;increase
ID90;current;building_area_m2;84.0;0.02986538912537353;increase
ID90;current;activation_year;2022;0.010165778654632104;increase
ID91;current;building_area_m2;133.0;-0.07733412285356979;decrease
ID91;current;condition;3;-0.016518071932053062;decrease
ID91;current;cat__settlement_type_Község;;-0.014753386837216042;decrease
ID92;current;building_area_m2;82.0;0.035230490535049556;increase
ID92;current;cat__county_Fejér vármegye;;0.010481481775036975;increase
ID92;current;cat__county_Szabolcs-Szatmár-Bereg vármegye;;-0.007503065320194593;decrease
ID93;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID93;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID93;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID94;current;building_area_m2;54.0;0.05050690626731602;increase
ID94;current;cat__county_Csongrád-Csanád vármegye;;0.014618920815899999;increase
ID94;current;condition;3;0.010080103641616045;increase
ID95;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID95;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID95;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID96;current;cat__county_Fejér vármegye;;-0.06532684187721832;decrease
ID96;current;condition;2;-0.04566662931730819;decrease
ID96;current;building_area_m2;39.0;-0.037127018852666345;decrease
ID97;current;cat__county_Fejér vármegye;;-0.05695001872192527;decrease
ID97;current;building_area_m2;74.0;-0.05279974135735782;decrease
ID97;current;condition;3;-0.020833978463408526;decrease
ID98;current;building_area_m2;45.0;-0.06334614732504705;decrease
ID98;current;cat__county_Bács-Kiskun vármegye;;-0.024642101947540643;decrease
ID98;current;cat__settlement_type_Nagyközség;;-0.012166723966141225;decrease
ID99;current;building_area_m2;87.0;0.08604198267488987;increase
ID99;current;cat__county_Fejér vármegye;;0.046222550810220586;increase
ID99;current;cat__county_Békés vármegye;;-0.01126043245226701;decrease
ID100;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID100;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID100;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID101;current;building_area_m2;163.0;-0.026600491518381206;decrease
ID101;current;cat__county_Fejér vármegye;;0.02609659640171504;increase
ID101;current;cat__settlement_type_Város;;0.024704427821527465;increase
ID102;current;building_area_m2;61.0;-0.02222507908787177;decrease
ID102;current;cat__county_Fejér vármegye;;-0.01902496879348924;decrease
ID102;current;cat__settlement_type_Nagyközség;;-0.00991639809846418;decrease
ID103;current;cat__county_Fejér vármegye;;-0.05695001872192527;decrease
ID103;current;building_area_m2;74.0;-0.05279974135735782;decrease
ID103;current;condition;3;-0.020833978463408526;decrease
ID104;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID104;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID104;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID105;current;building_area_m2;86.0;0.10325134083176433;increase
ID105;current;cat__county_Fejér vármegye;;0.043532400282290246;increase
ID105;current;condition;2;0.042923097420573486;increase
ID106;current;building_area_m2;76.0;-0.08887952615902041;decrease
ID106;current;condition;3;-0.024737234203920447;decrease
ID106;current;cat__county_Fejér vármegye;;-0.012190254284711589;decrease
ID107;current;cat__county_Fejér vármegye;;-0.0514695829367914;decrease
ID107;current;building_area_m2;39.0;-0.013106048733613622;decrease
ID107;current;cat__settlement_type_Város;;-0.009167366987298092;decrease
ID108;current;building_area_m2;140.0;-0.07859368245777543;decrease
ID108;current;cat__county_Fejér vármegye;;0.04273426917404984;increase
ID108;current;condition;3;-0.0073872548388623826;decrease
ID109;current;building_area_m2;41.0;0.11308175207818495;increase
ID109;current;condition;3;0.02566050619091726;increase
ID109;current;cat__county_Fejér vármegye;;0.01519892319462756;increase
ID110;current;cat__county_Fejér vármegye;;0.07466524069490514;increase
ID110;current;building_area_m2;84.0;0.02986538912537353;increase
ID110;current;activation_year;2022;0.010165778654632104;increase
ID111;current;cat__county_Fejér vármegye;;0.08188523912956375;increase
ID111;current;building_area_m2;221.0;0.03287513784477182;increase
ID111;current;activation_year;2023;-0.03067036555109948;decrease
ID112;current;building_area_m2;125.0;-0.05587874655959475;decrease
ID112;current;condition;3;0.011789910115597015;increase
ID112;current;cat__county_Fejér vármegye;;0.01126409382556349;increase
ID113;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID113;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID113;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID114;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID114;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID114;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID115;current;building_area_m2;65.0;0.11372130019753596;increase
ID115;current;cat__county_Fejér vármegye;;0.09931756659162563;increase
ID115;current;condition;3;0.018138672422768405;increase
ID116;current;cat__county_Fejér vármegye;;0.07926297970571093;increase
ID116;current;building_area_m2;167.0;0.04457553196407978;increase
ID116;current;condition;3;0.025288614283134975;increase
ID117;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID117;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID117;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID118;current;cat__county_Fejér vármegye;;-0.010143275562560951;decrease
ID118;current;condition;3;-0.010011858596512465;decrease
ID118;current;cat__settlement_type_Nagyközség;;-0.0060235478513059075;decrease
ID119;current;cat__county_Fejér vármegye;;0.03376041415085468;increase
ID119;current;building_area_m2;138.0;-0.023526984835216584;decrease
ID119;current;cat__settlement_type_Város;;0.012322415871274198;increase
ID120;current;cat__county_Fejér vármegye;;-0.02767425954156476;decrease
ID120;current;building_area_m2;48.0;0.0270299670430237;increase
