property_id;property_type;county;settlement_type;city;building_area_m2;land_area_m2;scenario;source_condition;target_condition;current_score;target_score;score_delta;current_factor;target_factor;factor_delta;current_value;target_value;value_delta;value_delta_pct;ksh_baseline;ksh_source_level
ID232;Lakóház;Tolna;község;Várong;125.0;335.6446448729673;2->5;2;5;0.538403;0.635379;0.09697600000000006;1.015361;1.054152;0.03879100000000002;17616519.0;18289531.0;673012.0;0.038203461194575385;17350000.0;county_settlement
ID251;Lakóház;Tolna;község;Váralja;55.0;1503.1143927564394;2->5;2;5;0.453826;0.338687;-0.11513899999999999;0.98153;0.935475;-0.04605500000000007;7493004.0;7141415.0;-351589.0;-0.04692230245706528;7634000.0;county_settlement
ID260;Lakóház;Csongrád-Csanád;város;Mindszent;54.0;912.6311055767472;2->5;2;5;0.467781;0.568117;0.10033599999999998;0.987112;1.027247;0.04013500000000003;4051108.0;4215820.0;164712.0;0.04065850626544639;4104000.0;city
ID263;Lakóház;Jász-Nagykun-Szolnok;község;Jánoshida;67.0;783.0751309683371;2->5;2;5;0.547968;0.513566;-0.034402000000000044;1.019187;1.005426;-0.013761000000000134;13306396.0;13126734.0;-179662.0;-0.013501927945027338;13055888.0;county_settlement
ID266;Lakóház;Heves;község;Egerbakta;135.0;1342.4015158693298;2->5;2;5;0.574393;0.57296;-0.0014330000000000176;1.029757;1.029184;-0.0005729999999999347;27291719.0;27276533.0;-15186.0;-0.0005564325207950441;26503065.0;county_settlement
ID277;Lakóház;Fejér;község;Sárszentmihály;70.0;512.3063418569453;2->5;2;5;0.485977;0.541288;0.055311;0.994391;1.016515;0.022124000000000033;23457677.0;23979591.0;521914.0;0.02224917667678688;23590000.0;city
ID280;Lakóház;Szabolcs-Szatmár-Bereg;város;Kemecse;95.0;385.9938004445814;2->5;2;5;0.515907;0.56493;0.04902300000000004;1.006363;1.025972;0.01960900000000021;21989028.0;22417490.0;428462.0;0.019485263286762835;21850000.0;city
ID285;Lakóház;Jász-Nagykun-Szolnok;város;Jászapáti;49.0;374.2789451598831;2->5;2;5;0.530382;0.39807;-0.13231200000000004;1.012153;0.959228;-0.05292500000000011;7786492.0;7379342.0;-407150.0;-0.052289272242236944;7693000.0;city
ID292;Lakóház;Békés;község;Kunágota;125.48720436761434;770.2867192064024;2->5;2;5;0.572252;0.618912;0.046660000000000035;1.028901;1.047565;0.018664000000000014;10716450.0;10910845.0;194395.0;0.018139869079779217;10415438.0;city
ID301;Lakóház;Nógrád;község;Magyargéc;98.0;1076.3476321638375;2->5;2;5;0.355773;0.354961;-0.0008119999999999794;0.942309;0.941984;-0.0003249999999999087;15698874.0;15693457.0;-5417.0;-0.00034505659450480335;16660000.0;city
ID305;Lakóház;Jász-Nagykun-Szolnok;község;Kengyel;60.0;806.1191720000193;2->5;2;5;0.444507;0.447858;0.003350999999999993;0.977803;0.979143;0.0013400000000000079;11432316.0;11447986.0;15670.0;0.0013706758980420064;11691840.0;county_settlement
ID308;Lakóház;Jász-Nagykun-Szolnok;község;Csataszög;78.0;595.9674094223201;2->5;2;5;0.49484;0.385683;-0.109157;0.997936;0.954273;-0.04366300000000001;15168020.0;14504372.0;-663648.0;-0.04375310686562913;15199392.0;county_settlement
ID309;Lakóház;Jász-Nagykun-Szolnok;város;Újszász;117.0;807.8532823731432;2->5;2;5;0.408743;0.640601;0.23185799999999995;0.963497;1.05624;0.09274300000000002;28520478.0;31265772.0;2745294.0;0.09625694211716929;29601000.0;city
ID311;Lakóház;Borsod-Abaúj-Zemplén;város;Mezőkövesd;68.0;1054.5493419270683;2->5;2;5;0.581959;0.595722;0.01376299999999997;1.032784;1.038289;0.005505000000000093;20577183.0;20686862.0;109679.0;0.005330127063553841;19924000.0;city
ID317;Lakóház;Békés;város;Újkígyós;151.0;2398.797967329326;2->5;2;5;0.501806;0.571668;0.06986199999999998;1.000722;1.028667;0.02794500000000011;26444092.0;27182535.0;738443.0;0.02792468729877358;26425000.0;city
ID325;Lakóház;Fejér;község;Vértesacsa;61.0;388.94336281722207;2->5;2;5;0.660965;0.604589;-0.05637599999999998;1.064386;1.041836;-0.02255000000000007;15647541.0;15316024.0;-331517.0;-0.021186523812271846;14701000.0;city
ID327;Lakás;Komárom-Esztergom;megyei jogú város;Tatabánya;67.18039204077687;0.0;2->5;2;5;0.079791;0.370016;0.290225;0.831916;0.948006;0.11609000000000003;29229666.0;33308532.0;4078866.0;0.13954541936948578;35135345.0;city
ID329;Lakóház;Bács-Kiskun;város;Kunszentmiklós;121.31269170140692;2215.424330671742;2->5;2;5;0.344631;0.372264;0.027632999999999963;0.937852;0.948906;0.011054000000000008;32994282.0;33383148.0;388866.0;0.01178586034998428;35180681.0;city
ID348;Lakóház;Békés;község;Csanádapáca;52.0;295.90723289603216;2->5;2;5;0.55327;0.619355;0.06608499999999995;1.021308;1.047742;0.026433999999999847;6560594.0;6730398.0;169804.0;0.02588241247667513;6423716.0;county_settlement
